Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,roll,pitch,yaw
26237,1000,-0.65,-0.3,0.8,-4.6
26339,1000,-0.653,-0.3,0.8,-4.6
26440,1000,-0.656,-0.3,0.8,-4.6
26542,1000,-0.659,-0.3,0.8,-4.6
26643,1000,-0.663,-0.3,0.8,-4.6
26745,1000,-0.666,-0.3,0.8,-4.6
26826,1000,-0.672,-0.3,0.8,-4.6
26928,1000,-0.676,-0.3,0.8,-4.6
27029,1000,-0.681,-0.3,0.8,-4.6
27131,1000,-0.686,-0.3,0.8,-4.6
27232,1000,-0.691,-0.3,0.8,-4.6
27334,1000,-0.695,-0.3,0.8,-4.6
27435,1000,-0.699,-0.3,0.8,-4.6
27537,1000,-0.701,-0.3,0.8,-4.6
27639,1000,-0.702,-0.3,0.8,-4.6
27740,1000,-0.704,-0.3,0.8,-4.6
27842,1000,-0.707,-0.3,0.8,-4.6
27943,1000,-0.708,-0.3,0.8,-4.6
28045,1000,-0.713,-0.3,0.8,-4.6
28127,1000,-0.719,-0.3,0.8,-4.6
28228,1000,-0.725,-0.3,0.8,-4.6
28330,1000,-0.732,-0.3,0.8,-4.6
28431,1000,-0.738,-0.3,0.8,-4.6
28533,1000,-0.741,-0.3,0.8,-4.6
28634,1000,-0.744,-0.3,0.8,-4.6
28736,1000,-0.744,-0.3,0.8,-4.6
28837,1000,-0.745,-0.3,0.8,-4.6
28939,1000,-0.744,-0.3,0.8,-4.6
29041,1000,-0.74,-0.3,0.8,-4.6
29142,1000,-0.738,-0.3,0.8,-4.6
29244,1000,-0.737,-0.3,0.8,-4.6
29345,1000,-0.735,-0.3,0.8,-4.6
29446,1000,-0.733,-0.3,0.8,-4.6
29528,1000,-0.732,-0.3,0.8,-4.6
29629,1000,-0.731,-0.3,0.8,-4.6
29731,1000,-0.727,-0.3,0.8,-4.6
29832,1000,-0.723,-0.3,0.8,-4.6
29934,1000,-0.718,-0.3,0.8,-4.6
30035,1000,-0.715,-0.3,0.8,-4.6
30137,1000,-0.714,-0.3,0.8,-4.6
30238,1000,-0.713,-0.3,0.8,-4.6
30340,1000,-0.714,-0.3,0.8,-4.6
30441,1000,-0.715,-0.3,0.8,-4.6
30543,1000,-0.719,-0.3,0.8,-4.6
30644,1000,-0.724,-0.3,0.8,-4.6
30746,1000,-0.729,-0.3,0.8,-4.6
30827,1000,-0.729,-0.3,0.8,-4.6
30929,1000,-0.728,-0.3,0.8,-4.6
31030,1000,-0.732,-0.3,0.8,-4.6
31132,1000,-0.734,-0.3,0.8,-4.6
31233,1000,-0.737,-0.3,0.8,-4.6
31335,1000,-0.736,-0.3,0.8,-4.6
31436,1000,-0.733,-0.3,0.8,-4.6
31538,1000,-0.73,-0.3,0.8,-4.6
31640,1000,-0.728,-0.3,0.8,-4.6
31741,1000,-0.723,-0.3,0.8,-4.6
31843,1000,-0.719,-0.3,0.8,-4.6
31944,1000,-0.716,-0.3,0.8,-4.6
32046,1000,-0.712,-0.3,0.8,-4.6
32147,1000,-0.709,-0.3,0.8,-4.6
32229,1000,-0.71,-0.3,0.8,-4.6
32330,1000,-0.708,-0.3,0.8,-4.6
32432,1000,-0.707,-0.3,0.8,-4.6
32533,1000,-0.703,-0.3,0.8,-4.6
32635,1000,-0.701,-0.3,0.8,-4.6
32736,1000,-0.701,-0.3,0.8,-4.6
32838,1000,-0.704,-0.3,0.8,-4.6
32939,1000,-0.707,-0.3,0.8,-4.6
33041,1000,-0.707,-0.3,0.8,-4.6
33142,1000,-0.708,-0.3,0.8,-4.6
33244,1000,-0.709,-0.3,0.8,-4.6
33345,1000,-0.709,-0.3,0.8,-4.5
33447,1000,-0.709,-0.3,0.8,-4.5
33528,1000,-0.711,-0.3,0.8,-4.5
33630,1000,-0.712,-0.3,0.8,-4.6
33731,1000,-0.712,-0.3,0.8,-4.5
33833,1000,-0.712,-0.3,0.8,-4.5
33934,1000,-0.712,-0.3,0.8,-4.5
34036,1000,-0.711,-0.3,0.8,-4.5
34137,1000,-0.711,-0.3,0.8,-4.5
34239,1000,-0.715,-0.3,0.8,-4.5
34341,1000,-0.722,-0.3,0.8,-4.5
34442,1000,-0.728,-0.3,0.8,-4.5
34543,1000,-0.73,-0.3,0.8,-4.5
34645,1000,-0.73,-0.3,0.8,-4.5
34746,1000,-0.731,-0.3,0.8,-4.5
34848,1000,-0.734,-0.3,0.8,-4.5
34929,1000,-0.738,-0.3,0.8,-4.6
35031,1000,-0.744,-0.3,0.8,-4.6
35132,1000,-0.752,-0.3,0.8,-4.6
35234,1000,-0.758,-0.3,0.8,-4.6
35335,1000,-0.762,-0.2,0.8,-4.6
35437,1000,-0.763,-0.2,0.8,-4.6
35538,1000,-0.765,-0.3,0.8,-4.6
35640,1000,-0.766,-0.2,0.8,-4.6
35741,1000,-0.764,-0.2,0.8,-4.6
35842,1000,-0.761,-0.2,0.8,-4.6
35944,1000,-0.758,-0.2,0.8,-4.6
36045,1000,-0.755,-0.2,0.8,-4.6
36146,1000,-0.754,-0.2,0.8,-4.6
36248,1000,-0.75,-0.2,0.8,-4.6
36329,1000,-0.745,-0.2,0.8,-4.6
36430,1000,-0.737,-0.2,0.8,-4.6
36532,1000,-0.731,-0.2,0.8,-4.5
36633,1000,-0.73,-0.2,0.8,-4.6
36735,1000,-0.726,-0.2,0.8,-4.6
36836,1000,-0.724,-0.2,0.8,-4.5
36938,1000,-0.722,-0.2,0.8,-4.5
37039,1000,-0.721,-0.2,0.8,-4.5
37141,1000,-0.72,-0.2,0.8,-4.5
37242,1000,-0.721,-0.2,0.8,-4.5
37344,1000,-0.721,-0.3,0.8,-4.6
37445,1000,-0.722,-0.3,0.8,-4.6
37547,1000,-0.72,-0.3,0.8,-4.6
37648,1000,-0.716,-0.3,0.8,-4.6
37730,1000,-0.71,-0.3,0.8,-4.5
37831,1000,-0.707,-0.3,0.8,-4.5
37933,1000,-0.708,-0.3,0.8,-4.5
38034,1000,-0.71,-0.3,0.8,-4.5
38136,1000,-0.71,-0.3,0.8,-4.5
38238,1000,-0.71,-0.3,0.8,-4.5
38339,1000,-0.709,-0.3,0.8,-4.5
38440,1000,-0.708,-0.3,0.8,-4.5
38542,1000,-0.711,-0.3,0.8,-4.5
38643,1000,-0.713,-0.3,0.8,-4.5
38745,1000,-0.713,-0.3,0.8,-4.5
38846,1000,-0.713,-0.3,0.8,-4.5
38948,1000,-0.714,-0.3,0.8,-4.5
39029,1000,-0.717,-0.3,0.8,-4.5
39131,1000,-0.724,-0.3,0.8,-4.5
39232,1000,-0.734,-0.3,0.8,-4.5
